recommended,overall,seat_comfort,cabin_service,food_bev,entertainment,ground_service,value_for_money,airline,traveller_type,cabin,year_flown,month_flown,aircraft_0,aircraft_1,aircraft_2,src,dst,via,verified,review_text
no,1,2,1,1,2,1,1,Etihad Airways,Family Leisure,Economy Class,2022,6,A320,,,Male,Abu Dhabi,,,"I have flown twice with Etihad in the last week. It was a complete disaster on both flights. Cabin Crew were unprofessional. English announcements were hardly understandable and they kept making announcements once every half an hour during the whole flights - which were both night flights! Neither sleeping nor watching movies was possible this way. Cabin temperature regulation was a mess - passengers in the first 15 rows could not take off enough clothes to deal with the heat while the others in the back were fighting for blankets, of which there were not enough for everybody. Fish for dinner was not cooked properly. Beer and white wine served at the same temperature as the coffee - ridiculous!"
yes,9,4,4,4,5,4,5,Emirates,Couple Leisure,Economy Class,2022,11,A380,,,DXB,LHR,,True," I paid a great price for a return to Dubai from London Heathrow and the service was great. Good food, comfortable seats and excellent IFE. Both flights on schedule. Ground service on both legs equally good. No hesitation to fly with them again."
no,1,3,1,1,3,2,1,China Eastern Airlines,Business,Economy Class,2022,9,A330,,,AMS,BKK,PVG,True," Amsterdam to Bangkok via Shanghai and a really bad service. No drinks and the staff dont speak English. On the way from Amsterdam to Shanghai I did ask for some drink during a flight off 11 hours, but the drinks were finished after 7 hours already! On the way back from Shanghai to Amsterdam also the same - no drinks. And each time I asked, I get the same answer that it is finished. Only water was supplied. Really bad and I will never fly this airline again."
no,5,2,2,3,2,3,3,British Airways,Solo Leisure,Business Class,2022,9,747-400 , 777,,BAH,BOS,LHR,True," Bahrain to Boston via London. First time flying BA after flying Qatar, Emirates and Oman Air business class. Check in at BAH was quick and efficient with their seperate business and first class check in area. BA uses the Dilmun lounge, which is basic but adequate. The flight from BAH to LHR was on a 777. The seats are in a 2x4x2 configuration and are very narrow (similar to premium economy seats, and marginally larger than the economy seats) though reasonably comfortable. When fully flat there is not much room, and people over 6 feet will struggle. There was hardly any storage space, and the IFE screen was very small and of poor quality. The food was very average (I had the carrot and pumpkin soup). Cabin crew was disengaged and the plane felt old and tired. The lounge in Heathrow is large, but gets too busy to be able to sit comfortably. The bathrooms in both the main BA lounges are quite dated and need a good clean far more often then they get. The quality of food in the lounge is average, though the wine and spirit selection is decent. The flight from LHR to BOS was on a 747 and this was similar to the 777 - old and tired with cramped seating for business class. Cabin crew were a bit better on this leg, though still disengaged. The food was of average quality, though the wine list, while small, was good. Overall, BA has the feel of a budget carrier compared to some of its middle eastern counterparts. The lounge is sub par, particularly when compared to the Qatar lounge in Doha, or even the Qantas / One World lounge in LAX. The business class ticket was reasonably cheap, though I can now see why. Given the choice I would not fly BA again."
no,1,2,2,1,1,1,2,Air China,Family Leisure,Economy Class,2022,1,777,,,Los Angeles,Mumbai,Beijing,True," Los Angeles to Mumbai via Beijing. Never recommend anybody uses Air China. Cheaper price for tickets, I didnâ€™t receive my luggage when I reached Bombay. I had all my wedding stuff in my bag and wedding was after 2 days. My luggage arrived after 3 days. Waste of money and time. Lady was very rude at LAX counter, when I Checked in my luggage. They didnâ€™t provide me special veg meal. They said you donâ€™t have ordered. I showed them my tickets, after one hour they give me food. Cheaper tickets but not worth it!"
yes,8,4,4,3,5,5,4,Cathay Pacific Airways,Solo Leisure,Economy Class,2022,3,A330-300,,,Taipei,Hong Kong,,True," Taipei to Hong Kong. At the time of booking was originally operated by the A350-900. I was shocked of the last minute change, it was replaced by A330-300 instead. Boarding was in a systematic row by row order, priority given to passengers with special needs. Simple hot meal is available on this short sector flight. The quality of the meal is below average. Nonetheless, I am very impressed with the responsiveness of the cabin crew, the service was quick, thus allow us time to have sufficient to rest. Overall flight journey is average. I hope the management look into the new way to improve the in flight catering."
yes,5,3,2,4,4,3,2,Etihad Airways,Solo Leisure,Economy Class,2022,9,A380,,,Abu Dhabi,New York,,True," Abu Dhabi to New York. Aside from being long, this flight was quite unconventional. I was sitting in seat number 48 K (the first economy cabin where the stairs are). The flight attendant treated the passengers as if they were an inconvenience. She even went out of her way and roughly â€œknockedâ€ the toilet door at me and asked me to â€œhurry up, pleaseâ€ because an old lady was waiting her turn and was apparently in her way. Etihad needs to get crash courses from ANA, Japan Airlines or Qatar Airways on how to treat passengers. Also, who serves spicy chickpeas and lentils on a 14 hour flight!"
no,1,1,3,1,1,2,1,American Airlines,Couple Leisure,Economy Class,2022,9,767,,,ORD,MAN,,,"Chicago to Manchester with American Airlines. Worst flight ever. Route was and is advertised with personal entertainment system choice of movies etc. Plane advertised as 787. Instead what we got was a 30 year old 767 that still had its original interior. 6 screens on the centre ceiling that you needed binoculars to see. The seats were very uncomfortable as they were the same age as the aircraft. I asked the staff if the plane was a joke, he said it was a last resort plane as they had technical issues with the Dreamliner, which I since found out was untrue. According to AA customer service the flight was changed several weeks earlier and is still being used to date as they said in their words ""we used this aircraft because it was more profitable"". The fact that it is advertised with all the mod cons did not concern them at all. The magazine in the seat pocket was all stuck together and some of them were totally in Spanish. The movie was a Disney movie and the people who made the outbound journey on this flight said the movie was in Spanish and could not be changed. The flight was unable to carry any duty free items as they didn't have anywhere to store it. AA customer service offered us a voucher for $100 off our next flight but like I told them ""Why would we ever fly with them again on a 30 year old aircraft when there are far superior carriers out there that actually give you what you pay for?"" Will never fly this airline again, which is a shame as it was the first time with AA and we were so looking forward to it."
yes,10,4,5,5,5,5,5,Emirates,Business,Business Class,2022,9,A380-800,,,Dubai,Seoul Incheon,,True," Dubai to Seoul Incheon. Everything was perfect, especially after getting an upgrade to first class. However the interior was an earlier one, everything was in perfect condition and worked perfect. ICE is still the best inflight entertainment system, Cabin crew was kind, helpful friendly and attentive on the level that needed. The cabin with the seat is comfortable and giving a great privacy to the travellers. You can easily work, read or relax without being interrupted. A real 1st class service."
yes,8,5,5,1,4,5,4,China Southern Airlines,Couple Leisure,Economy Class,2022,3,A330,,,Brisbane,Delhi,Guangzhou,True," Brisbane to Delhi return via Guangzhou in Economy class. Punctual service. Ground staff efficient and helpful. Very comfortable and clean airplane. Cabin crew were courteous, pleasant and looked after us. Only downside the food was definitely not great, particularly on the return flights from Delhi to Guangzhou and Guangzhou to Brisbane."
yes,5,4,4,1,3,1,2,Turkish Airlines,Business,Economy Class,2022,4,A321,,,IST,CAI,,True," Flew Turkish Airlines from Istanbul Ataturk to Cairo on a midnight flight. Check in was easy and quick, departure lounge was chaotic. A member of Turkish Airlines ground staff was very rude to passengers who had questions about their flight and shouted at one passenger who then refused to fly. Other passengers were telling the ground staff member to calm down and behave appropriately. Passengers were very uncomfortable about the situation. Although the ground staff work for TGS, this incident reflects part of the overall Turkish Airlines product unfortunately. Most passengers had up to three pieces of carry on baggage which delayed the departure of the flight as carry on luggage would not all fit in the over head bins on the aircraft. Turkish Airlines would become more efficient if it enforced a strict carry on baggage policy like other leading airlines do. Onboard experience was OK. Food on the flight was quickly served. It was a cardboard box containing a sandwich, salad and a mousse which was not as good as Egyptair hot food offering on the same route and not what one expects for the amount of money paid for the flight."
yes,9,5,4,3,4,3,4,Turkish Airlines,Couple Leisure,Economy Class,2022,8,A321-200 , 737-800,,Prague,Antalya,Istanbul,True," For my vacation to Turkey I decided to fly with Turkish Airlines instead of a charter airline like SmartWings. We boarded an A321-200 in Prague, seats were really nice with really good pitch and each seat has personal IFE which is geat for a 2 hours flight. The headphones were not very good, but thats ok. Problem was that for half of the flight the IFE wasn't working, but when it did it had plenty of movies, games, music etc. We received a warm sandwich and dessert on this flight which were tasty along with a good seletion of drinks, only problem was that only 1 drinks round was made. Second flight was on a Boeing 737-800 which was a bit older and only had screens above our heads, but it was a 55 minute flight (on the way back this flight was operated by A321-200 with IFE) and even on this short flight we received drinks and food (same sandwich just no dessert). Overall these were really nice flights and I would fly with Turkish again. The A321 was really nice and IFE for 2 hours flight is great, it is just the crew that could be little bit better."
yes,10,4,5,5,4,4,5,Austrian Airlines,Solo Leisure,Business Class,2022,12,767-300,,,Toronto,Vienna,,,"Austrian is my favourite airline to cross the Atlantic. I like Vienna airport for it is small, efficient and convenient. Austrian Airlines is exactly the same. On this 8+ hour night flight from Toronto to Vienna I had a very memorable experience. Because of the change of equipment from what I expected, I ended up sitting in row 7 which has no window. I wasnâ€™t happy! But since it was a night flight and I was going to sleep for most of it I thought I wonâ€™t make a fuss. During dinner service, when the flight attendant asked me if everything was OK, I said yes, adding that it would be great if she could do something about the missing window - jokingly. Well, when I woke up in the morning I look up, and on the wall where the window was supposed to be I had a painting of a window with a beautiful sunrise drawn on it in vibrant colours. Along with a very sweet note from the flight attendant that was serving me. Made my flight! That is attention to detail. Although Austrian doesnâ€™t have the newest planes (Boeing 767-300) and the latest latest business class product, itâ€™s very solid, with great service and some of the best inflight catering Iâ€™ve ever had. I actually look forward to all my meals that are prepared by the onboard chef. To end, there is the substantial Austrian coffee menu, which I adore. I love flying with Austrian!"
yes,10,5,5,5,5,5,5,United Airlines,Solo Leisure,Business Class,2022,10,767,,,Milan,Newark,,True, We had the most amazing flight crew on the way home from Milan to Newark. They were just lovely. Seats were very comfortable considering I have very long legs. Best experience flying ever!
yes,6,3,4,4,4,2,3,Air France,Solo Leisure,Economy Class,2022,8,777-300,,,Miami,Beijing,Paris,True," Flew from Miami to Beijing via Paris. My original connection time in Paris was 3hr 15mins, so it was a shocker to me when I, through my own research, found that my flight from Miami to Paris had been delayed for 4 hours and that I would miss my connection. While I understand not all delays are the fault of the airline, it was disappointing that Air France did not contact me-a Sky Priority Customer-informing me of this, and that I had to call the SkyTeam hotline and wait for an hour to get my reroute (through Atlanta). Having said that, the inflight product was above average, and my only complaint would be the price of the Wifi. Overall a solid airline, definitely explore other options first but AF works and provides a solid flight experience."
yes,7,3,5,4,4,3,4,Air India,Couple Leisure,Economy Class,2022,8,787-8,,,Frankfurt,Delhi,,False," Frankfurt to Delhi. First time with Air India for me. I was pretty worried because of the mixed reviews for the airline but because of the cheap price we decided to book them anyway. The check-in and boarding was not the fastest but in the end the flight was on time. Inflight entertainment had nice current hollywood and bollywood options. The service and especially the food was very good. I had mutton with rice and my girlfriend took the vegetarian option. Both meals very very good. The Aircraft had some slight signs of usage but was clean. Overall we would take Air India again because we feeled save, had good food and the overall price-performance ratio was good."
yes,9,5,5,5,4,4,4,Garuda Indonesia,Family Leisure,Business Class,2022,8,A330-200,,,DPS,CGK,,True," Denpasar to Jakarta I was originally booked in economy class but at the gate was upgraded to a Business class seat. The flight was empty though so I don't know why I was upgraded but I am not complaining. Upon boarding, I was provided a hot towel. Shortly after take off, I was served beef Steak with vegetables and mashed potatoes, gado-gado and a caramel cake. The food was delicious. The seat was soft and comfortable. The IFE was Ok but it didn't really matter as it was only an hour and half to Jakarta. Overall, it was an almost perfect flight except for the fact that the large A330 was parked on a remote stand. Good Job Garuda!"
yes,9,5,5,5,5,4,5,ANA All Nippon Airways,Business,Business Class,2022,4,787-9,,,Hong Kong,Tokyo Haneda,,True," Hong Kong to Tokyo Haneda. They fly their latest version of 787 for this service (NH860). Business class seats have a table next to a seat, and you can put your laptop, files, etc while you eat. Seats recline into full-flat, and I do not complain about my leg room. I like this structure of seats. The food was served in a course, and wine selection was good. Cabin attendants are always paying attention to their customers. One pity was business class lounge for Singapore Airline was too crowded, and it was hard to find a seat."
yes,8,4,5,4,3,4,3,Cathay Pacific Airways,Family Leisure,First Class,2022,8,777-300 , A340,,LHR,AKL,HKG,,"Flew London to Auckland via Hong Kong. Efficient check in at Heathrow, though Cathay lounge still under renovation which meant use of American Lounge. This whilst spacious was somewhat stark and lacked many of the refinements of CX's own lounges. It served its purpose, however. Both flights with CX were very good and the crew, especially on the second flight excellent, especially as due to a delay leaving HK we had a very tight domestic connection in Auckland. Assistance was arranged to get us quickly through the airport and we made the domestic flight with minutes to spare (a near record - 45 mins from touch down to take off, including a 10 minute walk between terminals. CX's food is generally good and it was a nice touch to be offered chopsticks to go with Asian food. Water bottles were replenished throughout the flights too. The A340 business class is dated, but from 31st October the A350 will be on the Auckland - Hong Kong route which by all accounts will offer an improvement on the already good business class seat of the Boeing 777."
yes,8,5,4,5,5,4,5,Thai Airways,Solo Leisure,Economy Class,2022,6,787,,,BKK,KUL,,,"Good experience for this short haul flight. Flight attendants were a bit too fast serving the meal, although the flight is only 1 hr 50 minutes. TG417 on 30 June 2015."
no,6,4,3,4,4,1,3,Egyptair,Couple Leisure,Economy Class,2015,1,A330 , 737,,LHR,SSH,CAI,,"Mainly booked this Egyptair trip because we got a great price on a flight/hotel package in Sharm el Sheikh. That said, lets say that a great price is a great price for a reason - and usually not a good reason. Before even getting on the plane my customer service nightmare had begun. Our original flight was IAD to LHR (10hr Layover) and then to CAI and SSH. Well about two weeks before we leave, Egyptair cancels our layover in LHR, thus getting us into SSH a day early. That sounds great, but now I have to pay for an extra night of hotel. When I told Egyptair the issue caused by the change, they refused to let us cancel, reimburse any of the extra hotel night. In the end, I just sucked it up and paid. As for the flight itself, the leg from LHR-CAI was a pleasant surprise. We were on a well maintained A330 with decent entertainment and food. No complaints there. On our flight from CAI-SSH, the plane was an old B737. Bottomline - the flights were ok, but the customer and ground service was so bad that I cannot recommend this airline."
no,3,4,1,1,4,4,3,Emirates,Couple Leisure,Economy Class,2022,10,A380,,,Dubai,Heathrow,,,"I did 4 flights with Emirates over a 3 week period and on each trip there was issues. Seats and entertainment was fine with no issues. Service and food horrendous. Cabin crew were rude and only thing they where interested in was how quickly they could dish the meals out. Have put a complaint in with Emirates due to a member of staff 'pushing' my fiancÃ© out the way when letting another passanger sit down. On the way home even though sitting next to the cabin crew station, they wouldn't answer the cabin crew service button so I could buy duty free. Also having to listen to the lead cabin crew staff member tell off her staff was a joke. Avoid if you can."
no,2,3,3,1,1,1,2,Garuda Indonesia,Business,Business Class,2022,7,A330-300,,,Jakarta,Haneda Tokyo,,True," The boarding was chaotic, as apparently due to cost saving, GA used one gate for 3 flights departing around the same time, unbelievably a brainless decision! I think it was not only confusing but dangerous (if one goes to the wrong direction, can one end up in another country as all three are international flights). A lot of ground staff around the gate but very inefficient, they did not seem know what to do, so yelled at each other in loud voices. Then we still had to walk a long way through a stuffy corridor to get to the aircraft (parked in domestic area). It was such an irony as I saw Narita-bound LCC Air Asia used the gate next door alone so that passengers did not have to walk far and no chaos. Boarded, was shocked by the new Diamond seat that looked and felt cheap (same design as in their B777 Business but of low-cost material), the design was poor, there was a huge gap between the aircraft window to the seat that anything could easily fall through, and one would have to bother the passenger behind to retrieve. Amenity was worse, of very cheap quality. The food and entertainment menu has not changed in forever, a frequent traveller easily gets bored! Overall did not feel like a genuine 5-star experience, but a fake one!"
yes,10,5,5,5,5,5,5,ANA All Nippon Airways,Solo Leisure,Economy Class,2022,11,787,,,SJC,MNL,HND,,"I used ANA last Nov. 2015, it was the best flight I ever had. From the plane with wide spacious leg room, the most tasteful meal, and the best service of Cabin Crew. It's a long flight but the crew still manage to smile and rendered a good service. From check in counter in San Jose, you can see how courteous and respectful staff they have and to the counter staff in Transfer Desk of Narita so polite and respective manner when you inquire or ask help. ANA is the best!"
no,1,3,4,3,3,1,1,United Airlines,Solo Leisure,Premium Economy,2022,2,737-300,,,Newark,Cleveland,,True," Why is it every time I'm stuck flying United the flights are ridiculously late. This time, flight 712, EWR to CLE. The departure time scheduled 6:14PM, there were at least 4 changed to the departure time with the flight finally leaving EWR at 10:12 pm. The airport staff were indifferent, no offer of anything, not that I expected much after the last United flight (out of EWR) that we were on. They held us on the plane at the gate for over 2.5 hours before starting to let people off, then telling us ""wait, stay on the plane we were ready to depart"", then spending another hour at the gate before finally pushing back. United, you wont get a third chance."
no,4,4,1,1,1,3,3,Norwegian,Business,Economy Class,2022,11,737-800,,,Bergen,Alicante,,True," Bergen to Alicante. The flight started with all four attendants disappearing from the cabin 20 minutes after takeoff for their unison, leaving passengers to study the menus meanwhile with the aircon set to cold. After reappearing, we were informed by the attendants that only noodle soup and muffins were our food options for the three hour late evening flight. The aircon was then changed to hot."
yes,7,3,3,3,4,4,4,Qantas Airways,Solo Leisure,Economy Class,2022,11,737-800,,,Sydney,Cairns,Brisbane,True," Sydney To Brisbane Via Cairns. The trip started with a visit to the Lounge for some much needed breakfast. Both flights were on perfect schedule with boarding really efficient and prioritising premium passengers during the process. The inflight service was average, nothing great about the catering either. IFE was good, just lack options and as for the Cabin Crew, no one really stood out. Qantas really needs to step up its game to keep up with the world's leading airlines."
yes,9,5,5,5,5,3,4,LATAM Airlines,Solo Leisure,Business Class,2022,11,787,,,SYD,SCL,AKL,True," Sydney to Santiago via Auckland, first time travelling business class long haul and LATAM made sure it was great. With the exception of the size of the lavatory and the ground crew in Auckland during transit, I could not nitpick anything. I was pleasantly surprised how great the seats were for length. The lavatory lacked space and was just as cramped as any economy toilet and one member of ground staff decided to get on the phone about one thing while I was boarding holding me up. The manager did come over and tell her to hurry up as it's delaying boarding, but it was frustrating having to wait for what sounded a pointless call. But besides those two things. Very good service and would recommend flying LATAM to anyone."
yes,9,5,5,5,5,2,5,Swiss Intl Air Lines,Couple Leisure,Business Class,2022,11,777,,,Singapore,Zurich,,True," Singapore to Zurich. Ground staff was rude and the Lounge was not convincing, but this is not to fault Swiss but SQ. They use a new aircraft for this route, a B777. The seat is very comfortable, for sitting and sleeping position, it has a function to soften the seat, very comfortable. If you have a bulk head seat also the space for the foot is large enough. I had a very good and long sleep thanks to this comfortable seat. I recommend to reserve a seat in the front cabin as it is very quiet there. The service was very good, friendly and attentive. The food was excellent. Good wine choice. Overall a great experience - I wish every flight was as nice as this one!"
yes,9,5,5,3,4,5,4,Cathay Pacific Airways,Solo Leisure,Premium Economy,2022,2,777,,,Vancouver,Hong Kong,,True," Always nice to step on to Cathay Pacific, especially after a number of recent flights on American based airlines. Greeted on boarding and welcomed with a glass of champagne. Premium economy seats comfortable and smaller cabin relaxed and quiet even cabin PE was almost full. Efficient and friendly service throughout the flight, appropriate for the departure time from Vancouver. Food was acceptable. Arrived in to Hong Kong on time and in good shape."
yes,6,3,3,4,3,2,3,American Airlines,Solo Leisure,Economy Class,2022,9,777,,,LHR,JFK,,,"American Airlines is hit and miss on most flights. Sometimes great service, sometimes not so great. They should have longer turnaround times in London Heathrow, because I often take their flights from there to LAX/JFK and the planes are dirty. This time, I opened up my screen at row 16 and there was food, drinks and everything else on the screen. The table dirt was the same. Seats had food bits in them. This flight was okay, food was better. Planes are packed these days, so even as Exec Plat, I had no chance of the system wide upgrade."
yes,9,5,4,5,5,4,4,Singapore Airlines,Business,Economy Class,2022,2,777-300ER,,,Singapore,Sydney,,True," Singapore Airlines has impressed me on the Singapore-Sydney route for the first time. It is evident that the morning flights are much better than the night time flights. As SQ 211 departed, a great lunch was served followed by multiple drink rounds before a mini pizza prior to landing, which compares well against the red eye SQ221 and 231. The staff were quite courteous with the exception of one cabin crew member, the rest were extremely pleasant. Specially the leading crew in charge was particularly friendly. Flight landed ahead of schedule and all in all, I couldn't fault the service."
no,1,3,1,2,1,1,1,Emirates,Couple Leisure,Economy Class,2022,3,A380,,,Zurich,Kolkata,Dubai,True," On my 8.35 am flight, March 3 from Dubai to Zurich the sound was not working. What a horrible experience. Not only mine 44C, but also 44 A and B. Flight attendant said he would bring another ear piece, one hour later he said he forgot. Told him it's the jack that was not working, not the ear piece. One hour later, he brought another ear piece, then one more. Smarter supervisor listened and said that it unfortunately was the jack that was not working. Offered to find another place to sit, but they forgot. 7 hour, boring long flight."
yes,10,5,5,5,5,5,5,Qatar Airways,Solo Leisure,Business Class,2022,4,777,,,Doha,Munich,,True," Doha to Munich. Crew: Awesome, dedicated, beautiful, pleasant, and attentive. The crew and the supervisor onboard of the flight were top notch. The best that I have interacted with compared to other airlines. The crew kept checking in with me to see if I am comfortable. Aircraft: The Qsuite was clean, comfortable and private. The in-flight entertainment system was responsive and showed no signs of lag. F&B: Spoilt for choices. The signature drink was a blast. Fine dining experience. Overall, the food was awesome. Overall, this airline has won my heart. I was smitten by the level of service and I will keep on flying with QR."
no,1,1,1,1,1,1,1,Sunwing Airlines,Family Leisure,Premium Economy,2022,4,?,,,Toronto,Varadero,,True," Toronto to Varadero. When in line to check in you should not question 14 of us that this is the Elite line, we paid for this service, which I might add gives you nothing. When checking in your staff could try and be a little bit more pleasant, smile, talk! When on the flight your staff could be a little bit more happier, and perhaps let the people whom really need to use the washroom use it. Please tell me what, if anything, is going on behind that little curtain that will not allow people to use the washroom? Your service is downright awful."
yes,10,5,5,5,4,5,5,Emirates,Solo Leisure,First Class,2022,8,A380,,,CPT,LHR,DXB,True," The service I have received flying Emirates has been of a consistently high standard, but on my flight from Cape Town to Dubai the cabin staff were excellent, extremely helpful and friendly. It was such a pleasant flight although I wish the cabin temperature had been coler. Food and drink is on demand, and of a good quality. The transfer arrangements at Dubai airport were well organised and everything ran smoothly. I will be using this airline as much as I can in the future."
no,7,3,4,2,4,4,4,Singapore Airlines,Couple Leisure,Economy Class,2022,3,A380,,,London Heathrow,Sydney,Singapore,True," London Heathrow to Sydney via Singapore. Both myself and my wife enjoyed the overall experience, responsive flight attendants and very friendly. Our only real complaint is the food which we found to be rather unappetising and repetitive, perhaps a few European or English dishes would be a refreshing change and certainly more welcoming to our palate."
yes,1,5,5,5,5,5,5,Jetblue Airways,Family Leisure,Economy Class,2022,6,E190,,,RDU,FLL,,,"It was the first time my children had flown, so I wanted it to be good. From the beginning, JetBlue kept me happy. I had TSA precheck when we arrived, and I didn't ask for it. When we boarded the plane, we boarded first because we had a small child. There was no extra charge for this. Our flight took off 20 min early so we arrived early. During the flight, we were quickly offered snacks and a drink. The attendant came around selling ear buds for $5 to use with the TV at each seat. Having your own TV made the flight enjoyable. At the end of the flight, deplaning was just as pleasant. The price was also better than anyone else, and there were no problems with my luggage. One more thing-my very picky husband who is 6'3"" had plenty of legroom. We did not upgrade to even more space, but he still had plenty of legroom and was very comfortable in a normal seat!"
yes,10,5,5,5,5,5,5,China Southern Airlines,Solo Leisure,Business Class,2022,8,A330-200,,,CAN,AMS,,True," I'm quite satisfied with China Southern Airlines cabin service for my trip in business class from Guangzhou to Amsterdam. The VIP lounge in Guangzhou airport was of perfect setting, various drinks and food provided. The attendants showed patience to us during boarding. Because the traditional Chinese Mid-Autumn festival is on the way, they offered us Chinese tea and delicious mooncakes as desserts. Since I am a big fan of Chinese culture, I took some pictures under their permission. Enough leg rest room in the seat helped me to get a good sleep in 13 hours. A personal toiletry kit was provided in every business passenger seat. I appreciate this airline and I would choose it again."
yes,9,4,5,4,3,4,4,Air Canada rouge,Couple Leisure,Premium Economy,2022,9,767-300,,,YYZ,EDI,,True," I have just completed my 10th flight with Air Canada rouge in their premium rouge class. I have never tried rouge or rouge plus offerings therefore I cannot comment on them. I have used premium rouge every year over the Toronto - Edinburgh route since they started in 2013. All flights have been on their B767-300. Rouge is ACs Leisure airline with lower operating costs than mainline AC, it is not advertised as a low cost carrier. It is however clearly advertised on the AC web site as a different product to mainline AC. My tip would be to do some research before you travel. On this trip I checked in at Bermuda as I was on a through ticket BDA/YYZ/EDI. Boarding at YYZ followed the standard AC arrangements with premium rouge passengers boarding in group 2. I was given a warm welcome on board having been recognized by a crew member from a previous rouge flight. The seat has similar pitch and width to those used on AC mainline business class service in N. America. (Including Bermuda & Caribbean) Each premium passenger had a small overnight amenity kit and bottled water on the seat waiting for them. Tablets for the rouge IFE system were handed out by FAs prior to departure. The use of these is included in the premium package. Departure from YYZ was a couple of minutes early and once in the air dinner menus were handed out. There was a choice of two main dishes. The drinks and meal service appeared much more professional in its presentation and co-ordination than it was in the â€˜earlyâ€™ days of rouge. The table ware is exactly the same as in ACs N. American business having experienced this on the earlier BDA/YYZ sector. The only issue on the flight was an un-serviceable washroom at the front of the plane. We were directed to use the facility mid-cabin. One of these, clearly for use by disabled passengers, was the biggest aircraft washroom I have every used. I managed about 2 hours light sleep or doze before a light breakfast of banana cake, juice tea/coffee was served. Arrival at EDI was a few minutes early. I continue to recommend AC premium rouge for a short (ish) trans Atlantic flight, in fact I have another premium rouge flight booked for March over DUB/YYZ, unfortunately the EDI service is summer seasonal only which for me is a bit of an niggle."
yes,8,4,4,3,4,4,4,Qatar Airways,Solo Leisure,Economy Class,2022,10,A380 , A350,,LHR,SIN,DOH,,"London to Singapore via Doha. Very impressed with the economy service and product offering on Qatar Airways on their brand new A380 and A350 aircraft. Aircraft spotlessly clean on both legs. Seating the same on both aircraft, very comfortable with good legroom and reasonable seat width. Felt more cramped on the A350. Crew professional and friendly on both legs. Good meal services on both flights, although I note on daylight flights in this case London to Doha the meal service and offering is much more extensive than on the early morning flights 0230am from Doha to Singapore. Inflight entertainment good and extensive choice not just of Western movies/tv but content from around the world. The Oryx IFE system they use is not that user friendly and can be clumsy. 15 minutes free wifi offered on both flights, but no point in using as the system times out constantly. Bathrooms kept clean throughout both flights. Only real negatives about experience, very long and drawn out safety announcements done in both Arabic and English but not simultaneously, way too much advertising of Qatar Airways, Qatar banks etc. Inflight entertainment interrupted too many times with charity videos and arrival videos for Doha. The new Doha airport for economy class passengers very bland, very poor food outlet choices, expensive shops, but lack of sitting area, shower and rest facilities for such a major global hub."
yes,9,4,5,3,4,4,4,Singapore Airlines,Business,Economy Class,2022,6,A330-300,,,Adelaide,Singapore,,True," Adelaide to Singapore and the best crew I have had on a flight. Two members addressed passengers (including myself) by name for the whole flight. Attendants were chatty and polite, and spent time providing passengers with hints of what to see and do in Singapore. Very frequent rounds of drinks. Aircraft was clean. IFE was not the latest generation but the screen size was big enough and the selection of movies was more than adequate. The only downside was food, where Singapore Airlines normally does not shine. Portions were big but quality can be better. Ground staff at Adelaide airport very polite and helpful. SilverKris lounge small but well-stocked. Overall, a great experience."
yes,8,4,5,4,3,5,5,China Southern Airlines,Solo Leisure,Economy Class,2022,9,737-800,,,Kota Kinabalu,Guangzhou,,True," Kota Kinabalu to Guangzhou. This is my first international flight with China Southern Airlines. I requested for a seat an emergency exit row upon check in and was granted without any charges. The cabin crew assisted me to my seat upon boarding. Flight departed slightly ahead of schedule. I am truly delighted with the hospitality and assistance rendered by the cabin crew through out the entire journey. The cabin crew are always around to check if the passenger require any beverages after the in flight meal. They even came to inform me the latest temperature on the destination prior to landing. Overall flight experience was smooth and satisfactory. Nonetheless, there are still room for improvement on the in flight entertainment. This aircraft does not equipped with CS entertainment apps whereby passenger can select the choice of entertainment via the mobile phones. The flight / route path was not available either on board,"
yes,6,4,3,3,3,3,3,British Airways,Couple Leisure,First Class,2022,1,A380,,,Johannesburg,London,,True," A380 boarding is always a nightmare, but it was complicated on this occasion by multiple pax in wheelchairs and a delayed show-up by the pilots. Fortunately, we still managed to take off more or less on time. The cabin crew responsible for our side of the First cabin was personable but lacked experience. The food served for dinner was a mixture of good and mediocre. Warm salmon on ice cold salad is never a pleasant experience. The seats in First are reasonably comfortable although they lack the privacy of competitors' premium cabin. The duvet was made redundant because of the typically overheated cabin. One of the First toilets was out of action so we had to make use of the Club World loos upstairs. It would have been helpful if cabin crew had apologised for the inconvenience for the lack of the convenience, but no comment was made. The IFE was passable and the sound quality good if one's own noise cancelling headphones are used. WiFi was available but I didn't make use of it. Breakfast was unremarkable and I wish bread rather than pastries was offered. Deplaning was delayed by half-an-hour because of early morning congestion at T5 and the lack of a stand. Overall, a reasonable flight but not first class."
